Benchmark,Prefetcher,Reward Type,Max Instructions,system.cpu.ipc,system.cpu.dcache.overall_misses::total,system.l2cache.overall_misses::.cpu.data,sim_insts,L1 CMPK,L2 CMPK,Increase in IPC,Decrease L2 CMPK
lbm,none,,100000000,0.110723,11350796,7306740,100000000,113.50796,73.0674,,
lbm,stride,N/A,100000000,0.147559,10991351,3107980,100000149,109.9133462,31.07975369,,
lbm,table_q,linear,100000000,0.112043,11076836,7198664,100000000,110.76836,71.98664,,
sjeng,none,N/A,100000000,0.074831,16638173,8303449,100000000,166.38173,83.03449,,
sjeng,stride,none,100000000,0.102892,16637283,4176296,100000000,166.37283,41.76296,0.028061,41.27153
sjeng,table bandits,pos_neg,100000000,0.096359,16638050,5080181,100000000,166.3805,50.80181,0.021528,32.23268
sjeng,table bandits,linear,100000000,0.096357,16638084,5079872,100000000,166.38084,50.79872,0.021526,32.23577
sjeng,table bandits,curved,50000000,0.064152,13968755,4261908,50000000,279.3751,85.23816,-0.010679,-2.20367
sjeng,table_q,pos_neg,100000000,0.093191,16637219,5476316,100000000,166.37219,54.76316,0.018360,28.27133
sjeng,table_q,linear,100000000,0.093240,16637194,5471350,100000000,166.37194,54.7135,0.018409,28.32099
sjeng,table_q,curved,100000000,0.093712,16637154,5414105,100000055,166.3714485,54.14102022,0.018881,28.89346978
sjeng,dqn,pos_neg,,,,,,#DIV/0!,#DIV/0!,,
sjeng,dqn,linear,,,,,,#DIV/0!,#DIV/0!,,
sjeng,dqn,curved,,,,,,#DIV/0!,#DIV/0!,,